Quarter,Market_Vendor,Market_Share
2023Q1,Barnes & Noble,0.02
2023Q2,Barnes & Noble,0.03
2023Q3,Barnes & Noble,0.03
2023Q4,Barnes & Noble,0.03
2024Q1,Barnes & Noble,0.02
2024Q2,Barnes & Noble,0.01
2024Q3,Barnes & Noble,0.0
2024Q4,Barnes & Noble,0.0
2025Q1,Barnes & Noble,0.0
2025Q2,Barnes & Noble,0.0
2025Q3,Barnes & Noble,0.0
2025Q4,Barnes & Noble,0.0
2026Q1,Barnes & Noble,0.0
2026Q2,Barnes & Noble,0.0
2013Q1,Verizon,0.0
2013Q2,Verizon,0.0
2013Q3,Verizon,0.0
2013Q4,Verizon,0.0
2014Q1,Verizon,0.04
2014Q2,Verizon,0.11
2014Q3,Verizon,0.17
2014Q4,Verizon,0.26
2015Q1,Verizon,0.35
2015Q2,Verizon,0.34
2015Q3,Verizon,0.35
2015Q4,Verizon,0.35
2016Q1,Verizon,0.35
2016Q2,Verizon,0.32
2016Q3,Verizon,0.34
2016Q4,Verizon,0.31
2017Q1,Verizon,0.3
2017Q2,Verizon,0.3
2017Q3,Verizon,0.31
2017Q4,Verizon,0.28
2018Q1,Verizon,0.28
2018Q2,Verizon,0.25
2018Q3,Verizon,0.24
2018Q4,Verizon,0.15
2019Q1,Verizon,0.13
2019Q2,Verizon,0.17
2019Q3,Verizon,0.16
2019Q4,Verizon,0.18
2020Q1,Verizon,0.16
2020Q2,Verizon,0.15
2020Q3,Verizon,0.13
2020Q4,Verizon,0.12
2021Q1,Verizon,0.11
2021Q2,Verizon,0.1
2021Q3,Verizon,0.1
2021Q4,Verizon,0.08
2022Q1,Verizon,0.07
2022Q2,Verizon,0.07
2022Q3,Verizon,0.08
2022Q4,Verizon,0.06
2023Q1,Verizon,0.06
2023Q2,Verizon,0.07
2023Q3,Verizon,0.05
2023Q4,Verizon,0.03
2024Q1,Verizon,0.03
2024Q2,Verizon,0.03
2024Q3,Verizon,0.02
2024Q4,Verizon,0.02
2025Q1,Verizon,0.02
2025Q2,Verizon,0.02
2025Q3,Verizon,0.02
2025Q4,Verizon,0.01
2026Q1,Verizon,0.01
2026Q2,Verizon,0.01
2013Q1,RIM,0.86
2013Q2,RIM,0.69
2013Q3,RIM,0.58
2013Q4,RIM,0.49
2014Q1,RIM,0.37
2014Q2,RIM,0.3
2014Q3,RIM,0.22
2014Q4,RIM,0.19
2015Q1,RIM,0.18
2015Q2,RIM,0.16
2015Q3,RIM,0.17
2015Q4,RIM,0.13
2016Q1,RIM,0.1
2016Q2,RIM,0.09
2016Q3,RIM,0.08
2016Q4,RIM,0.06
2017Q1,RIM,0.05
2017Q2,RIM,0.05
2017Q3,RIM,0.04
2017Q4,RIM,0.04
2018Q1,RIM,0.03
2018Q2,RIM,0.03
2018Q3,RIM,0.03
2018Q4,RIM,0.03
2019Q1,RIM,0.02
2019Q2,RIM,0.03
2019Q3,RIM,0.01
2019Q4,RIM,0.0
2020Q1,RIM,0.01
2020Q2,RIM,0.02
2020Q3,RIM,0.02
2020Q4,RIM,0.01
2021Q1,RIM,0.01
2021Q2,RIM,0.01
2021Q3,RIM,0.01
2021Q4,RIM,0.01
2022Q1,RIM,0.01
2022Q2,RIM,0.01
2022Q3,RIM,0.01
2022Q4,RIM,0.01
2023Q1,RIM,0.01
2023Q2,RIM,0.01
2023Q3,RIM,0.03
2023Q4,RIM,0.03
